id,group_id,group_name,collection,object_name,object_type,material,geometry_strategy,biological_function,animation_function,integration_points,pivot_origin,dependencies,roblox_export_note,optional,pass_criteria,blender_ai_prompt
NPC_M_002,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Cytoplasmic_Ring,Torus/ring mesh,MAT_NPC_Protein_Violet,Outer cytoplasmic ring of the nuclear pore complex.,Cytoplasmic-facing NPC scaffold ring.,Pulses during cargo import/export; detaches during mitosis.,Sits on outer membrane side of a pore socket.,Local origin at NPC center; local Z points through membrane.,NPC_M_001,Duplicate/instance for each NPC.,False,Ring is torus-like and clearly protein-based.,Create a violet torus `NPC_Cytoplasmic_Ring` with radius about 0.18 BU and tube radius 0.035 BU. Add bevels and smooth shading.
NPC_M_003,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Nuclear_Ring,Torus/ring mesh,MAT_NPC_Protein_Violet,Inner nuclear-facing ring of the NPC.,Nucleoplasmic-facing scaffold ring.,Pulses with cytoplasmic ring; detaches during mitosis.,Sits on inner membrane side.,Local origin at NPC center; local Z points through membrane.,NPC_M_001,Duplicate/instance for each NPC.,False,Nuclear ring is aligned with cytoplasmic ring across the envelope.,Create `NPC_Nuclear_Ring` as a matching violet torus offset inward along local Z.
NPC_M_004,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Scaffold_Lobes_8,Eight rounded protein lobes,MAT_NPC_Protein_Violet,Radial lobe proteins around NPC scaffold.,Shows NPC is made of nucleoporins/protein assemblies.,Can subtly scale/pulse during transport.,Arranged around central pore between rings.,Local origin at NPC center; local Z points through membrane.,NPC_M_002;NPC_M_003,Could be joined per NPC for fewer parts after review.,False,Eight lobes are visible from close camera.,Create 8 rounded violet lobes evenly distributed around the pore circumference. Use UV spheres or bevelled capsules.
NPC_M_005,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_CentralGate_GelPlug,Transparent gate plug/fibers,MAT_NPC_Gate_LilacGlass,Selective central barrier inside the NPC.,"Represents selective transport barrier, not an open hole.",Opens/pulses during import/export; alpha changes on cargo crossing.,Centered in the NPC channel.,Local origin at NPC center; local Z points through membrane.,NPC_M_002;NPC_M_003,Can be a simple transparent mesh in Roblox.,False,Gate is visible but still suggests permeability.,Create a translucent lilac gel plug or star-shaped fiber mesh in the center of the pore. Animate alpha/emission for gate opening.
NPC_M_006,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Cytoplasmic_Filaments,Curved filament set,MAT_NPC_Protein_Violet,Short filaments extending outward on cytoplasmic side.,Represents cytoplasmic NPC filaments used in transport interactions.,Can twitch/pulse when cargo approaches.,Attached to cytoplasmic ring.,Local origin at NPC center; local Z points through membrane.,NPC_M_002,Use only on LOD0/close pores.,False,Filaments are visible on selected close-up NPCs.,Create 6-8 thin curved violet filaments extending from the cytoplasmic ring outward. Use bevelled curves.
NPC_M_007,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Nuclear_Basket,Basket filament set,MAT_NPC_Protein_Violet,Basket-like filament structure on nuclear side.,Represents nuclear basket side of NPC.,Can pulse with RNA export.,"Attached to nuclear ring, extends into nucleoplasm.",Local origin at NPC center; local Z points through membrane.,NPC_M_003,Use on selected NPCs only for performance.,False,Basket shape is readable in close-up/cutaway.,Create a small basket of bevelled curves extending inward from the nuclear ring. Keep stylized and simple.
NPC_M_008,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Membrane_Collar,Short cylinder/collar mesh,MAT_NPC_Protein_Violet,Collar lining the pore through both membranes.,Keeps NPC seated through the envelope.,Moves with NPC during breakdown.,Bridges between inner and outer membrane sockets.,Local origin at NPC center; local Z points through membrane.,NPC_M_002;NPC_M_003,Important for teaching double-membrane perforation.,False,Collar helps explain the NPC perforates both membranes.,Create a short purple cylindrical collar passing through the double membrane with central opening.
NPC_I_001,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_001,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a hero/front visible pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_001` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_002,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_002,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a hero/front visible pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_002` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_003,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_003,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a hero/front visible pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_003` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_004,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_004,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a hero/front visible pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_004` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_005,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_005,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a hero/front visible pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_005` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_006,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_006,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a hero/front visible pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_006` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_007,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_007,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a hero/front visible pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_007` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_008,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_008,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a hero/front visible pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_008` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_009,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_009,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a hero/front visible pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_009` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_010,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_010,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a hero/front visible pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_010` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_011,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_011,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_011` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_012,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_012,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_012` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_013,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_013,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_013` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_014,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_014,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_014` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_015,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_015,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_015` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_016,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_016,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_016` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_017,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_017,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_017` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_018,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_018,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_018` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_019,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_019,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_019` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_020,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_020,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_020` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_021,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_021,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_021` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_022,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_022,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_022` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_023,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_023,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_023` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_024,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_024,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,False,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_024` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_025,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_025,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,True,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_025` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_026,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_026,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,True,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_026` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_027,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_027,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,True,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_027` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_028,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_028,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,True,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_028` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_029,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_029,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,True,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_029` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
NPC_I_030,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Instance_030,Duplicated NPC module,MAT_NPC_Protein_Violet,Placed duplicate of NPC_Master_Root on nuclear envelope surface. This is a background/support pore. Align local normal to envelope surface.,One nuclear pore complex that regulates exchange between nucleus and cytoplasm.,Can pulse for transport or detach during mitosis depending on location.,Socketed into matching outer/inner membrane panels; avoid cutaway gap unless intentionally visible.,Origin at pore center; local Z normal to shell surface.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,True,NPC is flush with membrane and not floating above or buried inside.,"Create or duplicate `NPC_Instance_030` from the NPC master module. Place it on the spherical envelope, align it to the surface normal, and keep the central gate visible if it is a hero/front pore."
