Component ID,Object Name,Group,Pass Criteria,Dependencies,Roblox Export Note,Reviewer Status
HOT_003,Hotspot_Mitosis,Hotspots_Labels_ReviewUI,Hotspot is readable and can be hidden.,ROOT_001,Roblox ClickDetector/ProximityPrompt target.,
HOT_004,Hotspot_Envelope,Hotspots_Labels_ReviewUI,Hotspot is readable and can be hidden.,ROOT_001,Roblox ClickDetector/ProximityPrompt target.,
HOT_005,Hotspot_Nucleolus,Hotspots_Labels_ReviewUI,Hotspot is readable and can be hidden.,ROOT_001,Roblox ClickDetector/ProximityPrompt target.,
HOT_006,Hotspot_Chromatin,Hotspots_Labels_ReviewUI,Hotspot is readable and can be hidden.,ROOT_001,Roblox ClickDetector/ProximityPrompt target.,
HOT_007,Label_Set_MajorAnatomy,Hotspots_Labels_ReviewUI,Labels help but do not become required to understand the 3D shapes.,ROOT_001,Use BillboardGui/SurfaceGui in Roblox if needed.,
CAM_001,CAM_Main_3D_Cell_Context,Cameras_Lights_Checkpoints,Camera shows full 3D quality and cohesive assembly.,CXT_001;ROOT_001,Review-only.,
CAM_002,CAM_Nucleus_Cutaway_Hero,Cameras_Lights_Checkpoints,Camera reveals internal anatomy and envelope surface details.,ROOT_002,Review-only.,
CAM_003,CAM_NPC_Transport_Closeup,Cameras_Lights_Checkpoints,NPC reads as selective complex and cargo path passes through it.,NPC_I_001;TRN_001,Review-only.,
CAM_004,CAM_Envelope_DoubleMembrane_Closeup,Cameras_Lights_Checkpoints,Double membrane and perinuclear space are unmistakable.,ENV_TRIM_01;ENV_TRIM_02;ENV_TRIM_03,Review-only.,
CAM_005,CAM_Mitosis_Breakdown_Sequence,Cameras_Lights_Checkpoints,Breakdown and reassembly are understandable without labels.,MITO_001;GEN_CHROMO_01,Review-only.,
CAM_006,CAM_Exploded_Component_View,Cameras_Lights_Checkpoints,Exploded view preserves assembly relationships.,ROOT_004,Review-only.,
CHK_001,Review_Checkpoint_Board,Cameras_Lights_Checkpoints,Board is readable from review camera or can be hidden.,CAM_001,Review-only; not core export.,
